Internal_ID	BioSample	Sub_site	Subject_gender	Raw_read_count_R1	Raw_read_count_R2	Raw_total_reads	QC_read_count_R1	QC_read_count_R2	QC_total_reads	Reads_failed_QC	Percentage_reads_passed_QC
SRS144674_PT	SRS144674	PT	female	90154887.00	90154887.00	180309774.00	3363805.00	3363805.00	6727610.00	173582164	3.73114
SRS144494_BM	SRS144494	BM	male	98465892.00	98465892.00	196931784.00	3185685.00	3185685.00	6371370.00	190560414	3.23532
SRS146797_SUPP	SRS146797	SUPP	male	32637172.00	32637172.00	65274344.00	9264285.00	9264285.00	18528570.00	46745774	28.3857
SRS144372_BM	SRS144372	BM	male	84883348.00	84883348.00	169766696.00	5960422.00	5960422.00	11920844.00	157845852	7.0219
SRS144542_BM	SRS144542	BM	male	63398734.00	63398734.00	126797468.00	6494491.00	6494491.00	12988982.00	113808486	10.2439
SRS145505_BM	SRS145505	BM	female	82728180.00	82728180.00	165456360.00	7093038.00	7093038.00	14186076.00	151270284	8.57391
SRS144402_SUPP	SRS144402	SUPP	male	36257201.00	36257201.00	72514402.00	12392817.00	12392817.00	24785634.00	47728768	34.1803
SRS144376_PT	SRS144376	PT	male	55305802.00	55305802.00	110611604.00	9605473.00	9605473.00	19210946.00	91400658	17.3679
SRS144759_TD	SRS144759	TD	female	20083936.00	20083936.00	40167872.00	15630086.00	15630086.00	31260172.00	8907700	77.8238
SRS144121_SUPP	SRS144121	SUPP	male	39081289.00	39081289.00	78162578.00	15379255.00	15379255.00	30758510.00	47404068	39.352
SRS144302_BM	SRS144302	BM	male	30935970.00	30935970.00	61871940.00	18021652.00	18021652.00	36043304.00	25828636	58.2547
SRS144194_TD	SRS144194	TD	female	23822239.00	23822239.00	47644478.00	17906781.00	17906781.00	35813562.00	11830916	75.1683
SRS146773_SUPP	SRS146773	SUPP	male	44202070.00	44202070.00	88404140.00	16403373.00	16403373.00	32806746.00	55597394	37.11
SRS146866_SUPP	SRS146866	SUPP	female	26659273.00	26659273.00	53318546.00	17548836.00	17548836.00	35097672.00	18220874	65.8264
SRS144237_SUPP	SRS144237	SUPP	female	40019345.00	40019345.00	80038690.00	26749236.00	26749236.00	53498472.00	26540218	66.8408
